searchTerms,rank,title,snippet,displayLink,link,queryTime,totalResults,cacheId,formattedUrl,htmlFormattedUrl,htmlSnippet,htmlTitle,kind,pagemap,cseName,count,startIndex,inputEncoding,outputEncoding,safe,cx,gl,searchTime,formattedSearchTime,formattedTotalResults
flights to hong kong,1,Cheap Flights to Hong Kong (HKG) from $397 - KAYAK,"Find flights to Hong Kong on XiamenAir, Hong Kong Airlines, China Eastern and 
more. Fly round-trip from San Francisco from $395, from New York from $444, ...",www.kayak.com,https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG,2018-12-16 11:26:30.485612+00:00,106000000,W42baDpas_gJ,https://www.kayak.com/flight-routes/United.../Hong-Kong-Intl-HKG,https://www.kayak.com/<b>flight</b>-routes/United.../<b>Hong</b>-<b>Kong</b>-Intl-HKG,"Find <b>flights to Hong Kong</b> on XiamenAir, Hong Kong Airlines, China Eastern and <br>
more. Fly round-trip from San Francisco from $395, from New York from $444,&nbsp;...",Cheap <b>Flights to Hong Kong</b> (HKG) from $397 - KAYAK,customsearch#result,"{'cse_thumbnail': [{'width': '310', 'height': '163', 'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2TGuhU4BQGEAzqzd0JENgdlvVTL0_VD3l2HWQAv1P1r7ddVnTHXKx7Mga'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'format-detection': 'telephone=no', 'msvalidate.01': 'F474AA342B64B17CDE53F5C5D4C07C7A', 'r9-version': 'R445c', 'r9-built': '20181213.223256', 'r9-rendered': '20181214.075719.EST', 'og:image': 'https://a1.r9cdn.net/rimg/provider-logos/common/socialmedia/kayak-logo.png?width=1200&height=630&crop=false', 'og:image:width': '1200', 'og:image:height': '630', 'og:title': 'Cheap Flights to Hong Kong (HKG) from $397 - KAYAK', 'og:type': 'website', 'og:description': 'Find flights to Hong Kong on XiamenAir, Hong Kong Airlines, China Eastern and more. Fly round-trip from San Francisco from $395, from New York from $444, from Chicago from $533, from Honolulu from $526, from Los Angeles from $402. Search for Hong Kong flights on KAYAK now to find the best deal.', 'og:url': 'https://www.kayak.com/flight-routes/United-States-US0/Hong-Kong-Intl-HKG', 'og:site_name': 'KAYAK', 'fb:pages': '90811893045', 'twitter:card': 'summary_large_image', 'twitter:site': '@KAYAK', 'twitter:creator': '@KAYAK', 'twitter:title': 'Cheap Flights to Hong Kong (HKG) from $397 - KAYAK', 'twitter:description': 'Find flights to Hong Kong on XiamenAir, Hong Kong Airlines, China Eastern and more. Fly round-trip from San Francisco from $395, from New York from $444, from Chicago from $533, from Honolulu from $526, from Los Angeles from $402. Search for Hong Kong flights on KAYAK now to find the best deal.', 'twitter:image:src': 'https://a1.r9cdn.net/rimg/provider-logos/common/socialmedia/kayak-logo.png?width=440&height=220&crop=false', 'kayak_page': 'flight,static-flight-route,unknown', 'kayak_split_flight_routes_xp': '1'}], 'breadcrumb': [{'url': 'Flights', 'title': 'Flights'}, {'url': 'Worldwide', 'title': 'Worldwide'}, {'url': 'Asia', 'title': 'Asia'}, {'url': 'Hong Kong', 'title': 'Hong Kong'}], 'cse_image': [{'src': 'https://a1.r9cdn.net/rimg/provider-logos/common/socialmedia/kayak-logo.png?width=1200&height=630&crop=false'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,2,"$480 Flights to Hong Kong, China (HKG) - TripAdvisor","Cheap Flights to Hong Kong: Enter your dates once and have TripAdvisor search 
multiple sites to find the best prices on Hong Kong flights.",www.tripadvisor.com,https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html,2018-12-16 11:26:30.485612+00:00,106000000,5jsjhmxgxvkJ,https://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_ Airfares.html,https://www.tripadvisor.com/<b>Flights</b>-g294217-<b>Hong</b>_<b>Kong</b>-Cheap_Discount_ Airfares.html,"Cheap <b>Flights to Hong Kong</b>: Enter your dates once and have TripAdvisor search <br>
multiple sites to find the best prices on Hong Kong flights.","$480 <b>Flights to Hong Kong</b>, China (HKG) - TripAdvisor",customsearch#result,"{'cse_thumbnail': [{'width': '300', 'height': '168', 'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1br-7C1YgRfg4NTlwsPXtT-OnACoNsCGeLFqXBvAusEpN-6vvO7LgbPVf'}], 'metatags': [{'theme-color': '#00a680', 'format-detection': 'telephone=no', 'og:title': '$480 Flights to Hong Kong, China (HKG) - TripAdvisor', 'og:description': 'Cheap Flights to Hong Kong: Enter your dates once and have TripAdvisor search multiple sites to find the best prices on Hong Kong flights.', 'og:image': 'https://media-cdn.tripadvisor.com/media/photo-s/12/a7/8b/da/photo-by-traveling-photographe.jpg', 'og:image:width': '550', 'og:image:height': '309', 'og:type': 'website', 'og:url': 'http://www.tripadvisor.com/Flights-g294217-Hong_Kong-Cheap_Discount_Airfares.html', 'og:site_name': 'TripAdvisor', 'fb:admins': '100000982334629', 'fb:app_id': '162729813767876', 'fb:pages': '5863091683', 'viewport': 'width=device-width, initial-scale=1.0, user-scalable=no', 'apple-itunes-app': 'app-id=284876795'}], 'breadcrumb': [{'url': 'Asia', 'title': 'Asia'}, {'url': 'China', 'title': 'China'}, {'url': 'Hong Kong', 'title': 'Hong Kong'}, {'url': 'Hong Kong Flights', 'title': 'Hong Kong Flights'}], 'cse_image': [{'src': 'https://media-cdn.tripadvisor.com/media/photo-s/12/a7/8b/da/photo-by-traveling-photographe.jpg'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,3,Cheap Flights to Hong Kong International from $383 in 2019 ...,"Search cheap flights using Skyscanner's free flight search tool. Save time and 
search all airlines and OTA's with no added fees. Find the best time to book.",www.skyscanner.com,https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong-international-airport.html,2018-12-16 11:26:30.485612+00:00,106000000,EI78TI4Q1qYJ,https://www.skyscanner.com/flights-to/hkg/cheap-flights-to-hong-kong- international-airport.html,https://www.skyscanner.com/<b>flights-to/hk</b>g/cheap-<b>flights-to-hong</b>-<b>kong</b>- international-airport.html,"Search cheap <b>flights</b> using Skyscanner&#39;s free <b>flight</b> search tool. Save time and <br>
search all airlines and OTA&#39;s with no added fees. Find the best time to book.",Cheap <b>Flights to Hong Kong</b> International from $383 in 2019 ...,customsearch#result,"{'metatags': [{'viewport': 'width=device-width, initial-scale = 1.0, maximum-scale=1.0, user-scalable=no', 'theme-color': '#008ca8', 'msapplication-tilecolor': '#21c4d9', 'skype_toolbar': 'SKYPE_TOOLBAR_PARSER_COMPATIBLE', 'y_key': '3ccd97fca3bc5b05', 'msapplication-id': 'App', 'msapplication-packagefamilyname': 'Skyscanner.Skyscanner_623c9he0pwcym', 'msapplication-minversion': '1.2.0.0'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,4,Flights to Hong Kong (HKG) | Hong Kong Flight Deals | Cathay Pacific,"Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with 
Cathay Pacific and experience award-winning service.",flights.cathaypacific.com,https://flights.cathaypacific.com/en-us/flights-to-hong-kong,2018-12-16 11:26:30.485612+00:00,106000000,q6kszaD7mggJ,https://flights.cathaypacific.com/en-us/flights-to-hong-kong,https://<b>flights</b>.cathaypacific.com/en-us/<b>flights-to-hong</b>-<b>kong</b>,"Find &amp; book great deals on <b>Hong Kong</b> (HKG) <b>Flights</b>. Fly to <b>Hong Kong</b> with <br>
Cathay Pacific and experience award-winning service.",<b>Flights to Hong Kong</b> (HKG) | Hong Kong Flight Deals | Cathay Pacific,customsearch#result,"{'cse_thumbnail': [{'width': '378', 'height': '133', 'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR8r742ad4Tm01M3S-l_11n2qcOUFU6MzKu3xWAfWAL6MzRBQj3BqZ8xbY'}], 'metatags': [{'twitter:card': 'summary_large_image', 'og:title': 'Flights to Hong Kong (HKG) | Hong Kong Flight Deals | Cathay Pacific', 'twitter:title': 'Flights to Hong Kong (HKG) | Hong Kong Flight Deals | Cathay Pacific', 'og:image': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/', 'twitter:image': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/', 'og:description': 'Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with Cathay Pacific and experience award-winning service', 'twitter:description': 'Find & book great deals on Hong Kong (HKG) Flights. Fly to Hong Kong with Cathay Pacific and experience award-winning service', 'viewport': 'width=device-width, initial-scale=1, user-scalable=0'}], 'listitem': [{'position': '1'}, {'position': '2'}, {'position': '3'}, {'name': 'To Hong Kong', 'position': '4'}], 'webpage': [{'primaryimageofpage': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/cq5dam.rendition.1700.600.jpg'}], 'cse_image': [{'src': 'https://www.cathaypacific.com/dam/focal-point/cx/city-offer-thumbnail/HKG.jpg/jcr:content/renditions/cq5dam.rendition.1700.600.jpg'}], 'thing': [{'name': 'Home'}, {'name': 'Cathay Pacific Flights'}, {'name': 'To Hong Kong SAR'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,5,"Cheap Flights to Hong Kong SAR, Asia $393.97 in 2019 | Expedia","Expedia Add-On Advantage: Book a flight & unlock up to 43% off select hotels. 
Terms apply. Travel the world better. Flights to Hong Kong SAR from airlines 
such ...",www.expedia.com,https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights,2018-12-16 11:26:30.485612+00:00,106000000,iEmRbX0P8CAJ,https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263. Travel-Guide-Flights,https://www.expedia.com/Cheap-<b>Flights-To-Hong</b>-<b>Kong</b>-SAR.d178263. Travel-Guide-<b>Flights</b>,"Expedia Add-On Advantage: Book a flight &amp; unlock up to 43% off select hotels. <br>
Terms apply. Travel the world better. <b>Flights to Hong Kong</b> SAR from airlines <br>
such&nbsp;...","Cheap <b>Flights to Hong Kong</b> SAR, Asia $393.97 in 2019 | Expedia",customsearch#result,"{'metatags': [{'oip.set': 'false', 'oip.yes': 'false', 'oip.no': 'false', 'oip.cantrack': 'true', 'viewport': 'width=device-width, initial-scale=1.0', 'ewe:page-epoch': '1544907225115', 'ewe:page': 'FLEX', 'flex:page-type': 'FLIGHT_DESTINATIONS', 'flex:template-id': '1-en_US-Travel-Guide-Flights', 'flex:template-fm-id': '1091', 'flex:template-version': '57', 'essclientid': 'flex.flight.Flight-Destinations', 'og:title': 'Cheap Flights to Hong Kong SAR, Asia $393.97 in 2019 | Expedia', 'og:type': 'website', 'og:description': 'Expedia Add-On Advantage: Book a flight & unlock up to 43% off select hotels. Terms apply. Travel the world better. Flights to Hong Kong SAR from airlines such as American Airlines, Delta, United, JetBlue, Frontier, and more. Book your flight + hotel to save up to 100% on your flight.', 'og:locale': 'en_US', 'og:site_name': 'Expedia.com', 'og:url': 'https://www.expedia.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}], 'listitem': [{'item': 'Expedia.com', 'name': 'Expedia.com', 'url': '/', 'position': '1'}, {'item': 'Flights', 'name': 'Flights', 'url': '/Flights', 'position': '2'}, {'name': 'Flights to Hong Kong SAR', 'url': '/Hong-Kong-SAR-Hotels.d178263.Travel-Guide-Hotels', 'position': '1'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,6,Cheap Flights to Hong Kong - Search Deals on Airfare to Hong ...,"Looking for cheap flights to Hong Kong from your destination? Search for airfare 
and flight ticket deals at cheapflights.com and book your next flight today.",www.cheapflights.com,https://www.cheapflights.com/flights-to-hong-kong/,2018-12-16 11:26:30.485612+00:00,106000000,INTDzvyAb2IJ,https://www.cheapflights.com/flights-to-hong-kong/,https://www.cheap<b>flights</b>.com/<b>flights-to-hong</b>-<b>kong</b>/,"Looking for cheap <b>flights to Hong Kong</b> from your destination? Search for airfare <br>
and flight ticket deals at cheapflights.com and book your next flight today.",Cheap <b>Flights to Hong Kong</b> - Search Deals on Airfare to Hong ...,customsearch#result,"{'cse_thumbnail': [{'width': '310', 'height': '163', 'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTrnZaIxdGLxEJ5BzSQQJkQVHqPw20iUWamDtHzCekPCmSfYEO28XT48Zw9'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'format-detection': 'telephone=no', 'r9-version': 'R445b', 'r9-built': '20181212.060439', 'r9-rendered': '20181212.085411.EST', 'og:image': 'https://www.cheapflights.com/rimg/provider-logos/common/socialmedia/cheapflights-logo.png?width=1200&height=630&crop=false', 'og:image:width': '1200', 'og:image:height': '630', 'og:title': 'Cheap Flights to Hong Kong - Search Deals on Airfare to Hong Kong from Cheapflights.com', 'og:type': 'website', 'og:description': 'Looking for cheap flights to Hong Kong from your destination? Search for airfare and flight ticket deals at cheapflights.com and book your next flight today.', 'og:url': 'https://www.cheapflights.com/flights-to-hong-kong/', 'og:site_name': 'Cheapflights', 'fb:pages': '90811893045', 'twitter:card': 'summary_large_image', 'twitter:site': '@Cheapflights', 'twitter:creator': '@Cheapflights', 'twitter:title': 'Cheap Flights to Hong Kong - Search Deals on Airfare to Hong Kong from Cheapflights.com', 'twitter:description': 'Looking for cheap flights to Hong Kong from your destination? Search for airfare and flight ticket deals at cheapflights.com and book your next flight today.', 'twitter:image:src': 'https://www.cheapflights.com/rimg/provider-logos/common/socialmedia/cheapflights-logo.png?width=440&height=220&crop=false', 'kayak_page': 'flight,static-flight-route-cf,splits'}], 'breadcrumb': [{'url': 'Home', 'title': 'Home'}, {'url': 'Flights', 'title': 'Flights'}, {'url': 'Asia', 'title': 'Asia'}], 'cse_image': [{'src': 'https://www.cheapflights.com/rimg/provider-logos/common/socialmedia/cheapflights-logo.png?width=1200&height=630&crop=false'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,7,Flights to Hong Kong SAR (HKG) on Orbitz.com,"Flights to Hong Kong SAR (HKG): Search on Orbitz for cheap Hong Kong SAR 
flights, airlines, and airfares to Hong Kong SAR.",www.orbitz.com,https://www.orbitz.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights,2018-12-16 11:26:30.485612+00:00,106000000,b46GCa9COrMJ,https://www.orbitz.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel- Guide-Flights,https://www.orbitz.com/Cheap-<b>Flights-To-Hong</b>-<b>Kong</b>-SAR.d178263.Travel- Guide-<b>Flights</b>,"<b>Flights to Hong Kong</b> SAR (HKG): Search on Orbitz for cheap Hong Kong SAR <br>
flights, airlines, and airfares to Hong Kong SAR.",<b>Flights to Hong Kong</b> SAR (HKG) on Orbitz.com,customsearch#result,"{'metatags': [{'oip.set': 'false', 'oip.yes': 'false', 'oip.no': 'false', 'oip.cantrack': 'true', 'viewport': 'width=device-width, initial-scale=1.0', 'ewe:page-epoch': '1544870330132', 'ewe:page': 'FLEX', 'flex:page-type': 'FLIGHT_DESTINATIONS', 'flex:template-id': '70201-en_US-Travel-Guide-Flights-flow-mobile', 'flex:template-fm-id': '1352', 'flex:template-version': '38', 'essclientid': 'flex.flight.Flight-Destinations', 'og:title': 'Flights to Hong Kong SAR (HKG) on Orbitz.com', 'og:type': 'website', 'og:description': 'Flights to Hong Kong SAR (HKG): Search on Orbitz for cheap Hong Kong SAR flights, airlines, and airfares to Hong Kong SAR', 'og:locale': 'en_US', 'og:site_name': 'Orbitz.com', 'og:url': 'https://www.orbitz.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}], 'listitem': [{'item': 'Orbitz.com', 'name': 'Orbitz.com', 'url': '/', 'position': '1'}, {'item': 'Flights', 'name': 'Flights', 'url': '/Flights', 'position': '2'}, {'name': 'Flights to Hong Kong SAR', 'url': 'http://www.orbitz.com/Cheap-Flights-To-Hong-Kong-SAR.d178263.Travel-Guide-Flights'}], 'map': [{'url': 'https://maps.google.com/maps?ll=22.339007,114.155104&z=11'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,8,"Passenger Arrivals, Flights - Hong Kong International Airport",Real-time information of arrival flights at Hong Kong International Airport.,www.hongkongairport.com,https://www.hongkongairport.com/en/flights/arrivals/passenger.page,2018-12-16 11:26:30.485612+00:00,106000000,dHRWOA7CXpcJ,https://www.hongkongairport.com/en/flights/arrivals/passenger.page,https://www.<b>hongkong</b>airport.com/en/<b>flights</b>/arrivals/passenger.page,Real-time information of arrival <b>flights</b> at <b>Hong Kong</b> International Airport.,"Passenger Arrivals, <b>Flights</b> - <b>Hong Kong</b> International Airport",customsearch#result,"{'metatags': [{'viewport': 'width=device-width, initial-scale=1.0, maximum-scale=1.0', 'og:description': 'Real-time information of arrival flights at Hong Kong International Airport', 'og:title': 'Passenger Arrivals, Flights - Hong Kong International Airport', 'page-locale': 'en_US', 'category': 'flights', 'og:site_name': 'Hong Kong International Airport', 'og:type': 'website', 'og:locale': 'en_US', 'og:url': 'http://www.hongkongairport.com/en/flights/arrivals/passenger.page', 'og:image': 'http://www.hongkongairport.com/iwov-resources/image/og_share.png'}], 'cse_image': [{'src': 'http://www.hongkongairport.com/iwov-resources/image/og_share.png'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,9,Fly Hong Kong Airlines | Flights To & From Hong Kong| Airfare,"Find the best deals on flights to Hong Kong, Beijing, Bangkok, Taipei, Auckland, 
Vancouver, Osaka, Tokyo and other destinations with Hong Kong Airlines.",www.hongkongairlines.com,https://www.hongkongairlines.com/,2018-12-16 11:26:30.485612+00:00,106000000,vb2JsrpMQGIJ,https://www.hongkongairlines.com/,https://www.<b>hongkong</b>airlines.com/,"Find the best deals on <b>flights to Hong Kong</b>, Beijing, Bangkok, Taipei, Auckland, <br>
Vancouver, Osaka, Tokyo and other destinations with Hong Kong Airlines.",Fly <b>Hong Kong</b> Airlines | <b>Flights</b> To &amp; From <b>Hong Kong</b>| Airfare,customsearch#result,"{'cse_thumbnail': [{'width': '424', 'height': '119', 'src': 'https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ7x5aXmUJMKviEanQSmQqaUBivUPk7awKYAJPNNrodNmMU1riYbg3XVQ'}], 'metatags': [{'baidu-site-verification': 'CmVVhdVltD', 'apple-mobile-web-app-capable': 'yes', 'apple-mobile-web-app-status-bar-style': 'white', 'apple-touch-fullscreen': 'yes', 'mobile-web-app-capable': 'yes', 'format-detection': 'telephone=no', 'handheldfriendly': 'true', 'viewport': 'width=device-width, initial-scale=1, maximum-scale=1, minium-scale=1, user-scalable=no', 'wt.si_n': 'NWHomepage', 'wt.si_p': 'HomepageStep1', 'wt.cg_n': 'NWHomepage', 'wt.cg_s': 'HomepageStep1', 'wt.pagelanguage': 'en_US', 'msvalidate.01': 'FD4E2745C9D1B487EB23914E4FE1002C', 'og:title': 'Flying Beyond | Fly with Hong Kong Airlines', 'og:type': 'website', 'og:url': '/en_HK/homepage', 'og:description': 'Catch Our Special Fares to Popular Destinations. Book Your Flight Now!', 'og:image': '/userfiles/serviceimg/17022_MKT_Brand_1200x630e.jpg', 'og:image:width': '1200', 'og:image:height': '630', 'og:site_name': 'Hong Kong Airlines', 'fb:admins': '124470254262656'}], 'cse_image': [{'src': 'https://www.hongkongairlines.com/userfiles/homePage/10005563009/en_GB/1440x405_eng.jpg'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
flights to hong kong,10,Find Cheap Flights to Hong Kong from 395 USD | momondo,"Looking for flights to Hong Kong? Search 1000+ airlines and travel sites with 
momondo and get the cheapest flights to Hong Kong.",www.momondo.com,https://www.momondo.com/flights/hong-kong,2018-12-16 11:26:30.485612+00:00,106000000,kVDKohjKPfIJ,https://www.momondo.com/flights/hong-kong,https://www.momondo.com/<b>flights</b>/<b>hong</b>-<b>kong</b>,"Looking for <b>flights to Hong Kong</b>? Search 1000+ airlines and travel sites with <br>
momondo and get the cheapest <b>flights to Hong Kong</b>.",Find Cheap <b>Flights to Hong Kong</b> from 395 USD | momondo,customsearch#result,"{'cse_thumbnail': [{'width': '310', 'height': '163', 'src': 'https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTVJFfxtfqtuHqjQ56mxM7SY8EQHUvAY50VraC8zel3wVhWpNLddPWkwfJD'}], 'metatags': [{'viewport': 'width=device-width, initial-scale=1', 'format-detection': 'telephone=no', 'r9-version': 'R445c', 'r9-built': '20181213.223256', 'r9-rendered': '20181214.082655.EST', 'og:image': 'https://www.momondo.com/rimg/dimg/d5/53/e28a14a6-ap-HKG-5519c319.jpg?width=1200&height=630&crop=true&xhint=2254&yhint=825', 'og:image:width': '1200', 'og:image:height': '630', 'og:title': 'Find Cheap Flights to Hong Kong from 395 USD | momondo', 'og:type': 'website', 'og:description': 'Looking for flights to Hong Kong? Search 1000+ airlines and travel sites with momondo and get the cheapest flights to Hong Kong', 'og:url': 'https://www.momondo.com/flights/hong-kong', 'og:site_name': 'momondo', 'fb:pages': '90811893045', 'twitter:card': 'summary_large_image', 'twitter:site': '@momondo', 'twitter:creator': '@momondo', 'twitter:title': 'Find Cheap Flights to Hong Kong from 395 USD | momondo', 'twitter:description': 'Looking for flights to Hong Kong? Search 1000+ airlines and travel sites with momondo and get the cheapest flights to Hong Kong', 'twitter:image:src': 'https://www.momondo.com/rimg/dimg/d5/53/e28a14a6-ap-HKG-5519c319.jpg?width=440&height=220&crop=true&xhint=2254&yhint=825', 'kayak_page': 'flight,static-flight-route-mm,single', 'momo_page': 'flight,city', 'mmop': '20171012', 'mmlo': '20171012'}], 'cse_image': [{'src': 'https://www.momondo.com/rimg/dimg/d5/53/e28a14a6-ap-HKG-5519c319.jpg?width=1200&height=630&crop=true&xhint=2254&yhint=825'}]}",PySearch,10,1,utf8,utf8,off,012859022920491477448:pubdbfjmmec,us,0.162895,0.16,"106,000,000"
